shell_rho,shell_phi
833042.6417092703,-0.0003382765084195604
833224.1383720527,-0.00033810505799192073
833405.6350348351,-0.0003379345000489023
833682.7282190868,-0.0003376758063780553
833854.4063408142,-0.0003375165449116736
834026.0844625416,-0.0003373580513842505
834200.4905254841,-0.0003371978169964886
834422.943647728,-0.0003369945628331556
834645.3967699718,-0.0003367925503927286
834861.7823804979,-0.00033659722122134046
835159.6859455411,-0.00033633016682345823
835457.5895105844,-0.0003360652250472728
835622.4217204002,-0.0003359195214250518
835774.7991895112,-0.0003357853826003558
836367.0034281653,-0.00033526900557124086
836714.5472708216,-0.00033496951312119106
836901.9518587956,-0.00033480907335429317
836971.6867039736,-0.0003347495574413557
837041.4215491515,-0.0003346901408996476
837114.3982319213,-0.0003346280678830462
837309.9088644309,-0.0003344622959073203
837417.613500912,-0.00033437129768431717
837525.3181373931,-0.0003342805263016958
837627.7405124697,-0.00033419441484887943
837798.3174612182,-0.00033405144693972625
837890.4868321256,-0.00033397442394433315
837961.0665430734,-0.00033391554966820045
838025.1921065233,-0.0003338621389202662
838158.6422962273,-0.00033375122838243674
838292.0924859312,-0.0003336406401162035
838327.8893723637,-0.00033361102998934867
838360.1506017201,-0.0003335843639628203
838682.7628952841,-0.00033331870437166216
839061.2853593,-0.0003330092530769076
839209.4989536679,-0.00033288872222715264
839357.7125480359,-0.0003327685394317368
839547.9459263955,-0.000332614782707537
839738.1793047551,-0.00033246157330221466
839857.3500941341,-0.0003323658683437852
839976.5208835131,-0.0003322703689293886
840120.5060878008,-0.000332155253275891
840258.5309740587,-0.0003320451740162666
840396.5558603165,-0.00033193535469447464
840568.4650875084,-0.00033179893075745235
840723.9755611396,-0.0003316758522407829
840845.3614501157,-0.0003315799955008458
840966.7473390917,-0.00033148432246964924
841089.3361990488,-0.0003313878841670547
841297.8061924696,-0.0003312242967470015
841426.269329001,-0.00033112374311036226
841542.6304030064,-0.0003310328240812376
841698.986491493,-0.0003309108917137853
841763.3609849309,-0.0003308607675247284
841827.7354783688,-0.000330810687804952
841911.2187432178,-0.0003307458079806138
842150.7300145786,-0.0003305600706923456
842286.460410255,-0.0003304550711678007
842422.1908059315,-0.00033035025237117965
842568.1390446367,-0.00033023773957119914
842785.8692849908,-0.0003300702575124265
842890.9224506851,-0.0003299896020534512
842995.9756163793,-0.00032990904390366003
843198.6575238227,-0.0003297538891786346
843396.097232114,-0.00032960307708850765
843587.1831798088,-0.00032945741724982645
843765.4018048801,-0.00032932182197738285
843944.045568253,-0.0003291861432454816
844016.5925384522,-0.00032913111115084415
844089.1395086515,-0.00032907611691323883
844163.9151303666,-0.00032901947233963144
844328.0949358834,-0.0003288952382728357
844488.2326369103,-0.00032877423938050955
844643.3298940007,-0.00032865721045154074
844706.7307663375,-0.00032860941591269897
844734.3620285174,-0.00032858859417547715
844761.9932906973,-0.00032856777725961186
844788.6988454252,-0.00032854766231467467
844930.0657356632,-0.00032844125683020945
