EC,RA,MA,MB,CP,K2,L2,MI
517345905433209.44,1186323.8242999201,9.166271770016406e+32,9.4925581839149e+32,0.057379108334614966,0.0824158535153476,1.9343276457322183e+36,2.7955806482252006e+44
526244064184392.06,1181740.539148209,9.478582874087837e+32,9.828684153983745e+32,0.05956423869306877,0.08467453715384625,1.949245404965742e+36,2.924950480682447e+44
535295267984022.4,1177521.8945088936,9.801977041905154e+32,1.0177633246791621e+33,0.06181715414962042,0.08683758936349531,1.9636122429301206e+36,3.0609182176025126e+44
544502149150481.06,1173652.09738189,1.0136489879445846e+33,1.0539536077754795e+33,0.06413757414056806,0.08889516460926596,1.977324974889849e+36,3.2036794540849073e+44
553867385277060.6,1170107.9568809825,1.048285202938825e+33,1.0915285269549171e+33,0.06653004860782365,0.09084190505020724,1.9903016984164512e+36,3.3537342572577087e+44
563393700010663.9,1166877.8964009488,1.0840779826112304e+33,1.1304688600821846e+33,0.06899211021071225,0.09266717699762003,2.002423883867543e+36,3.511157986185718e+44
573083863843918.1,1163956.4668233746,1.1208864250812724e+33,1.1706324866008311e+33,0.07151369036034672,0.09435684763867691,2.0135393819292743e+36,3.675511018731102e+44
582940694920899.4,1161321.0407083759,1.158738939860856e+33,1.2120604331911498e+33,0.07409648818750889,0.0959068463588645,2.0235507507173435e+36,3.847084651164493e+44
592967059856729.6,1158919.593000845,1.1982177873069122e+33,1.2554040860517044e+33,0.07677976435629544,0.0973324461991926,2.0324842168412707e+36,4.028751530498184e+44
603165874571246.4,1156770.209074472,1.2388786678456048e+33,1.3001917919306724e+33,0.07953274962686553,0.09860927876688626,2.0401226476097046e+36,4.218732243484821e+44
613540105137035.1,1154864.727751334,1.280533987789071e+33,1.346229790978834e+33,0.08234254969316945,0.0997283668176298,2.0463377225427187e+36,4.416339863091613e+44
624092768642033.2,1153177.7471702185,1.3233368589202686e+33,1.393700006840558e+33,0.08521940029183894,0.10069163245183047,2.0510566953489975e+36,4.622480741436288e+44
634826934066985.8,1151692.209836581,1.3673145210047198e+33,1.4426463071480348e+33,0.08816502086712083,0.10149710620919143,2.0541815475426996e+36,4.837489568433508e+44
