core_rho,core_phi
495433.7698350915,-0.008038617426871855
500197.8205199733,-0.008253619841474
506435.31969109754,-0.008478981507084099
509390.37831615424,-0.008564278231554989
512345.43694121094,-0.008636233216257122
515533.11577861494,-0.00869931286522632
525214.5370800572,-0.00880334018685179
534895.9583814994,-0.008786905260777666
547536.1444735161,-0.00860931359678934
553711.3385935484,-0.008467637370842173
557375.5794820815,-0.008368803221371828
561039.8203706145,-0.008259975502696772
567633.8206546105,-0.008041524383544054
573303.8590646812,-0.00783336469472248
578973.8974747519,-0.007609353699319584
590991.0629435324,-0.0070940355797752125
598005.4924572632,-0.0067750304748803265
605019.921970994,-0.006447709619952444
611978.7850327762,-0.006118407150840631
624365.4269953406,-0.005530878689180836
631538.8667513944,-0.005194851341358651
638712.3065074481,-0.004865063806970542
