CE,RE,RJ,MA,MB,PC,PS,AL,MI
451368725158485.25,1238278.9518813454,1238278.9518813,7.041546475477743e+32,7.227890433992666e+32,1.6976133731876577e-07,1.277483572364243e-07,-6.289329496481351e-07,1.968354554877256e+44
459132100744527.56,1230046.433062898,1230046.4330628517,7.275359754868926e+32,7.475217163758431e+32,1.7278060112318922e-07,1.2926168255826247e-07,-6.364878410881528e-07,2.0546549541881762e+44
467029003527140.25,1222339.7483244091,1222339.748324362,7.518011991215596e+32,7.732268862095627e+32,1.7598610417433206e-07,1.3086926658347925e-07,-6.444909380536537e-07,2.145480385205394e+44
475061730124851.0,1215237.4011305491,1215237.4011305012,7.768818909479721e+32,7.999036776709204e+32,1.7937798996137413e-07,1.3256957462348845e-07,-6.5293801061147e-07,2.2407982667824033e+44
483232616657185.1,1208549.2834779113,1208549.2834778621,8.0278968483539e+32,8.274426414131064e+32,1.829722430351185e-07,1.3437418343761035e-07,-6.618689801875651e-07,2.340582901735141e+44
491544039424056.0,1202403.3097449243,1202403.309744874,8.295361907199986e+32,8.559709722893169e+32,1.8678188403922839e-07,1.3628566005429247e-07,-6.713105845520657e-07,2.4451234067663826e+44
499998415596861.1,1196648.2970179103,1196648.2970178588,8.574560189531668e+32,8.858212248746458e+32,1.9087175980587674e-07,1.3833795987708437e-07,-6.814208999175722e-07,2.555810710209773e+44
508598203921452.3,1191274.6975884913,1191274.6975884384,8.864868588045368e+32,9.168788680059131e+32,1.9525255826109822e-07,1.405374532580935e-07,-6.922252068175999e-07,2.6725268785110127e+44
517345905433209.44,1186388.8986293226,1186388.8986292682,9.166278278357304e+32,9.492540987837111e+32,1.9994285954011926e-07,1.4288971656695166e-07,-7.037613167942321e-07,2.7955787656550175e+44
526244064184392.06,1181736.6064283263,1181736.60642827,9.47857804173278e+32,9.828684951367798e+32,2.0496576674774428e-07,1.454151855571401e-07,-7.160836769684234e-07,2.9249416820887564e+44
535295267984022.4,1177522.6073392737,1177522.6073392155,9.802000004901637e+32,1.0177669331433239e+33,2.1035142792168187e-07,1.481208530653224e-07,-7.29260082028145e-07,3.060935697697413e+44
544502149150481.06,1173657.2172900678,1173657.2172900075,1.0136525593245838e+33,1.0539621749247815e+33,2.1612959574555883e-07,1.5102440726225809e-07,-7.433573284740895e-07,3.2037072633138317e+44
553867385277060.6,1170115.063251714,1170115.0632516514,1.0482893724581189e+33,1.0915311265029106e+33,2.2234834343584176e-07,1.541501764285212e-07,-7.584858129751127e-07,3.3537608641678597e+44
563393700010663.9,1166874.723600094,1166874.7236000288,1.0840758478959896e+33,1.130470890291063e+33,2.2904158468189312e-07,1.57515805927264e-07,-7.747203951844304e-07,3.5111390056615787e+44
573083863843918.1,1163971.9289872246,1163971.9289871566,1.1208918741484584e+33,1.1706721227171507e+33,2.362286832940162e-07,1.611292203518063e-07,-7.920984065905409e-07,3.675556661434883e+44
582940694920899.4,1161322.7780104042,1161322.778010333,1.1587228305751041e+33,1.2120312568344327e+33,2.439591814312123e-07,1.6501757171280722e-07,-8.107321011272857e-07,3.846953423250953e+44
592967059856729.6,1158927.0359764372,1158927.0359763624,1.1982268906789589e+33,1.2554207243096198e+33,2.5242287130567457e-07,1.692755648811371e-07,-8.310645969343387e-07,4.028822328940015e+44
603165874571246.4,1156787.2919059957,1156787.291905917,1.2388787655420668e+33,1.3002178989228836e+33,2.615896280634067e-07,1.7388748837072898e-07,-8.530153699675647e-07,4.21874269036039e+44
613540105137035.1,1154860.0242661412,1154860.024266058,1.2805288149173086e+33,1.3462205726275908e+33,2.714971572853515e-07,1.7887575653541777e-07,-8.766596741976638e-07,4.416292701619605e+44
624092768642033.2,1153198.5363192672,1153198.5363191792,1.3233237365884577e+33,1.3936674637870222e+33,2.8226747727021e-07,1.842958100233322e-07,-9.022715420266134e-07,4.6223714599496165e+44
634826934066985.8,1151671.6600504543,1151671.6600503605,1.3673096618889274e+33,1.4426070248751737e+33,2.940142359390781e-07,1.902148430860228e-07,-9.301051834266367e-07,4.837426768953356e+44
645745723177966.5,1150419.388323152,1150419.3883230519,1.4126347981138673e+33,1.493321352313145e+33,3.069042850885094e-07,1.9670281878026956e-07,-9.605325736603533e-07,5.0624167172209845e+44
656852311434277.0,1149268.7406226906,1149268.7406225833,1.4592434298339156e+33,1.545541982219988e+33,3.210694683215695e-07,2.0384287835626922e-07,-9.93846450009518e-07,5.2973057266669216e+44
668149928911944.6,1148324.4953868696,1148324.4953867537,1.5072148154456173e+33,1.5995429462755766e+33,3.3672072702239524e-07,2.1172873555118628e-07,-1.0305166048171805e-06,5.5426178768793036e+44
679641861243121.5,1147456.5977556182,1147456.5977554927,1.556252276154178e+33,1.654960245761174e+33,3.5396029471345557e-07,2.204275668511456e-07,-1.0707512294188385e-06,5.797181600149245e+44
691331450571612.4,1146772.2410282635,1146772.241028127,1.606253626523487e+33,1.7117152569494725e+33,3.729835516040547e-07,2.3002481279420348e-07,-1.1149703410442803e-06,6.060626565552609e+44
703222096524865.8,1146195.0085858395,1146195.00858569,1.6572704707417105e+33,1.7698710923810427e+33,3.9408138701542965e-07,2.4067587075780905e-07,-1.1638116273002866e-06,6.333409730807324e+44
715317257202665.0,1145727.5225536113,1145727.522553447,1.7092938591175554e+33,1.8294350052942022e+33,4.1758275540883215e-07,2.525460689954217e-07,-1.2179905643922628e-06,6.615645281016764e+44
727620450182843.2,1145363.7026491154,1145363.7026489333,1.7622314092637058e+33,1.890341340206539e+33,4.4385012771487747e-07,2.6581821815063123e-07,-1.2782924789450585e-06,6.906900856968411e+44
740135253544266.2,1145066.032746654,1145066.032746451,1.8159507070439705e+33,1.952391361749522e+33,4.7327468280384363e-07,2.8069887495402423e-07,-1.345549766922369e-06,7.20678858123064e+44
752865306907439.0,1144820.7112422346,1144820.7112420066,1.8704749553944042e+33,2.0156811948461283e+33,5.064651409504558e-07,2.9749596952594933e-07,-1.421088038497475e-06,7.515274486744082e+44
765814312492993.9,1144644.919637564,1144644.919637306,1.9259608625572354e+33,2.080405518920953e+33,5.442456267248778e-07,3.1662698338061697e-07,-1.5066979456183313e-06,7.833493900401892e+44
778986036198402.0,1144526.0468564497,1144526.0468561547,1.9822541703551308e+33,2.14637689168297e+33,5.874339916754955e-07,3.385129325509375e-07,-1.6041302916324584e-06,8.160782650513253e+44
792384308693172.4,1144389.3272892407,1144389.3272889,2.0391560152554735e+33,2.2133913189574103e+33,6.370584972837779e-07,3.636933001638061e-07,-1.71559421663692e-06,8.495759117196809e+44
806013026532920.0,1144331.9596130636,1144331.9596126664,2.0965432916086272e+33,2.2813646530142583e+33,6.943888670870753e-07,3.9279857392127166e-07,-1.84378288023299e-06,8.83821849382754e+44
819876153292575.5,1144222.584283108,1144222.5842826383,2.154864906870865e+33,2.350769981108256e+33,7.619088161703896e-07,4.2712904759344825e-07,-1.9940978945307795e-06,9.190288883923217e+44
833977720719106.9,1144165.1914906057,1144165.191490043,2.2135007406579595e+33,2.420977119290733e+33,8.41378777731145e-07,4.6757000641250925e-07,-2.1702165833880937e-06,9.54899866271178e+44
848321829904032.2,1144068.4254172638,1144068.4254165795,2.2721496135630713e+33,2.491532900324413e+33,9.356720370395513e-07,5.15620656191418e-07,-2.3782647379904793e-06,9.91185504727915e+44
862912652476135.0,1143973.8328026303,1143973.8328017818,2.3314948633513184e+33,2.563350217018149e+33,1.050453660269121e-06,5.741804867882061e-07,-2.6303945823854668e-06,1.0283458835154412e+45
877754431814674.8,1143822.0143428,1143822.014341727,2.390593256477642e+33,2.6352485766983256e+33,1.1904435535845292e-06,6.457088602335429e-07,-2.9365729485785405e-06,1.0657422764921363e+45
892851484283465.4,1143649.625763304,1143649.6257619124,2.4498506028993494e+33,2.7077617622317604e+33,1.3657186263224817e-06,7.353766966242526e-07,-3.318284859728407e-06,1.1036334684123047e+45
908208200486197.6,1143440.3346600046,1143440.334658141,2.5094965106818823e+33,2.781161633625702e+33,1.5915241629911117e-06,8.510641708240103e-07,-3.8079765523726694e-06,1.142192771328575e+45
923829046543314.8,1143181.8199956438,1143181.8199930515,2.5690472888336292e+33,2.8548828960143824e+33,1.8894350496023402e-06,1.003917033376184e-06,-4.451429815109397e-06,1.1810745101758375e+45
939718565390884.8,1142870.0599339153,1142870.0599301385,2.627962592578527e+33,2.928271513529578e+33,2.2942238612325364e-06,1.2119003791741845e-06,-5.3223719880017835e-06,1.2198858892019493e+45
955881378101811.2,1142463.8905577715,1142463.8905518865,2.6868494571334664e+33,3.0019846589806944e+33,2.8794963591981737e-06,1.5130868154280463e-06,-6.577054884708769e-06,1.259023513627846e+45
972322185229736.2,1142050.3264389462,1142050.3264288378,2.745664680170931e+33,3.076189250730733e+33,3.792370021081971e-06,1.9833958429229503e-06,-8.52749373596861e-06,1.2984628564904543e+45
989045768176094.4,1141541.2352237618,1141541.2352036054,2.803814098595456e+33,3.1499352578325055e+33,5.377956968809876e-06,2.80136243873019e-06,-1.1905226105472963e-05,1.3377578022855289e+45
1006056990580661.0,1140938.18858607,1140938.1885323317,2.8617794358969516e+33,3.2238979564151633e+33,8.812823424684679e-06,4.575302122456231e-06,-1.9204469864656322e-05,1.3772102205379495e+45
1023360799736018.0,1140278.3067473534,1140278.3064404395,2.918735767591265e+33,3.297030158333581e+33,2.112199180612861e-05,1.09373383066206e-05,-4.5315098473501925e-05,1.41624350133134e+45
1040962228026366.9,1139941.707171219,1139671.6474959787,2.972986944740113e+33,3.367125913797461e+33,0.019816964191833944,0.010261787428299456,-0.04188854043067851,1.45469046517341e+45
1058866394391049.2,1141053.3307524764,1139586.4232760645,3.0206752296022984e+33,3.429123304189647e+33,0.04586305942826907,0.023910947429199858,-0.09574621203805844,1.492686650294028e+45
1077078505813278.9,1142285.4194875518,1139638.8725062378,3.070214788881608e+33,3.49391536808526e+33,0.06116623920913879,0.03210798299613922,-0.12606743782893012,1.532693391978904e+45
1095603858834456.2,1143580.8494733018,1139781.3206840078,3.1216918126440367e+33,3.561662831213525e+33,0.07276099025623216,0.03845930290750166,-0.1479905869112254,1.5747177789863024e+45
1114447841094553.2,1144858.4106594138,1139972.594356054,3.173849900412183e+33,3.630723390838131e+33,0.0819217215991519,0.04359790243779071,-0.16440366877073856,1.6176682417417884e+45
1133615932898949.2,1146077.9188167995,1140167.901151256,3.2275809568344984e+33,3.702279730970031e+33,0.08945500298152344,0.04793548764184257,-0.17705454244632257,1.6621844999602897e+45
1153113708812258.5,1147174.5784350536,1140330.123527245,3.2824259463133714e+33,3.7758397924465753e+33,0.09558118248249502,0.051571863250416475,-0.18651302618734472,1.7077714282735514e+45
