CE,RE,RJ,MA,MB,PC,PS,AL,MI
318622107788688.56,1611039.3658304417,1611039.365830145,3.745787124695941e+32,3.78810705016524e+32,3.2508067527812667e-07,1.6217902023970043e-07,-3.5386950416701803e-06,9.045839400334687e+43
320796394613251.25,1597937.5170967379,1597937.517096435,3.7881822982066604e+32,3.8318209622876876e+32,3.315014160578236e-07,1.645168210929261e-07,-3.5998665414663654e-06,9.159819597021105e+43
322985518836349.4,1585114.9786948413,1585114.9786945318,3.831509202872709e+32,3.8765102170933064e+32,3.382820455442092e-07,1.6698649740254678e-07,-3.6644437845040816e-06,9.27714240112127e+43
325189581708835.8,1572649.364732004,1572649.3647316874,3.8754968102749076e+32,3.921894761783837e+32,3.4540430480808977e-07,1.6958143023481247e-07,-3.7322510115593387e-06,9.397108391598273e+43
327408685172502.2,1560529.7001711212,1560529.7001707968,3.920149808962285e+32,3.967980890735364e+32,3.5289325610285324e-07,1.7231073809518473e-07,-3.803524076601195e-06,9.519749167423725e+43
329642931864794.1,1548731.5014173812,1548731.5014170485,3.965530206815594e+32,4.0148332248610034e+32,3.607865692811592e-07,1.7518813942544214e-07,-3.8786186889169755e-06,9.645259859502175e+43
331892425123558.1,1537210.658253167,1537210.6582528253,4.011785337662987e+32,4.0626044445250635e+32,3.691429283574684e-07,1.7823513787215933e-07,-3.958091986418519e-06,9.77406747785949e+43
334157268991820.0,1526007.7229742685,1526007.7229739167,4.058734266880431e+32,4.11110891771608e+32,3.7796471749505337e-07,1.8145254353806075e-07,-4.041963472047233e-06,9.905696743632943e+43
336437568222602.25,1515112.8873904918,1515112.8873901293,4.106385591780514e+32,4.160355479827426e+32,3.872905751854275e-07,1.848544477231364e-07,-4.1305968554888016e-06,1.0040201647488886e+44
338733428283761.1,1504488.907826746,1504488.907826372,4.154875304057396e+32,4.210486601095536e+32,3.97191308292478e-07,1.8846669784448695e-07,-4.224662486331487e-06,1.017798652464483e+44
341044955362870.06,1494117.1342118566,1494117.13421147,4.20427418912568e+32,4.261576022637735e+32,4.0773228837145063e-07,1.9231317778188014e-07,-4.324778675262956e-06,1.0319287569224456e+44
343372256372129.75,1484029.2822696602,1484029.2822692594,4.2544087014739285e+32,4.3134453563720536e+32,4.1893261135366934e-07,1.9640085599581295e-07,-4.431123230452791e-06,1.0463637560373136e+44
345715438953312.75,1474217.675402425,1474217.6754020092,4.3052848020520236e+32,4.366101167735931e+32,4.3085435944560276e-07,2.0075234805335144e-07,-4.544281362183816e-06,1.0611081280621714e+44
348074611482742.56,1464644.8349245468,1464644.8349241142,4.357067882831336e+32,4.419716249706747e+32,4.4360783048857845e-07,2.0540792352918796e-07,-4.665296108602906e-06,1.076212349006818e+44
350449883076304.3,1455321.171766064,1455321.171765613,4.409678931450347e+32,4.47421000344598e+32,4.572564051865688e-07,2.1039074303262312e-07,-4.794765161130252e-06,1.0916564407168511e+44
352841363594497.6,1446251.9178110915,1446251.9178106205,4.46306292033994e+32,4.5295256542638934e+32,4.7187651357758273e-07,2.1572861117268075e-07,-4.933407798299762e-06,1.1074279205556542e+44
355249163647509.1,1437427.1535023341,1437427.1535018408,4.5172388139756995e+32,4.5856842456575845e+32,4.875775706887676e-07,2.2146146597882944e-07,-5.082256436770284e-06,1.1235347346834868e+44
357673394600334.2,1428816.4222944595,1428816.422293941,4.572366386294443e+32,4.642852609149187e+32,5.045300473503305e-07,2.2765154213300504e-07,-5.242922385689944e-06,1.140027155073103e+44
