EC,PC,PS,SS,AS,RS,RJ,MS,MB,NS,OS,VS,RI,MA,NI,PI,SI,OI,VI,H1,J1,H1p,J1p,H2,J2,H2p,J2p,CP,MI,HI,HpI,JpI,YI,CI,K2,L2
833977720719106.9,0.09373101011916996,0.027041188048780657,-5.7670900520438935e-08,0.9948944966554286,1086126.2042795112,1080580.9833109356,1.5464767972339796e+33,1.6568238435881775e+33,0.2513988232149946,1.284999201263345,2.4324931004288183e-07,9087089.904915528,1.556238592048246e+33,0.46509171294646917,2.167656103707054e-07,-1.3798394000173166e-12,1.3729643230221356,4.969114861431936e-11,52466756264105.64,768671607092102.5,11692529.883320484,724749581.944895,46792852260014.23,5302515229521836.0,10394690.749348518,4999529185.382364,0.10695058843370724,5.538644806868632e+44,2.422374371869019e+29,5.4009714134418905e+22,-4.37779342102102e+17,2.026074638907174,0.012717907847798809,2.3180804823369205e-06,1.434682007720144e+36
848321829904032.2,0.09745991087079049,0.02853970132774017,-6.103111612525227e-08,0.9943146214212196,1084068.1134038751,1077904.77577399,1.5662230667738166e+33,1.680760865357981e+33,0.25371759745216993,1.2875757241266819,2.5069188566197487e-07,8525350.253492199,1.5770413663105022e+33,0.4694778798850326,5.930301962929861e-07,-2.576654983674418e-12,1.378034661796824,6.560992105807292e-11,46836015360401.73,460708408231766.2,11136293.70160569,434163779.38916767,42492297285203.55,3150112855269321.5,10066780.324331947,2968613786.975401,0.1086493185712283,5.6447242022318924e+44,1.2796217543201575e+29,3.044273161024103e+22,-4.297061817332531e+17,2.0282161410130923,0.013737103566453935,3.1478752095906608e-06,1.4160600712005512e+36
862912652476135.0,0.10114654294490813,0.030072150477556937,-6.44788727772026e-08,0.9936896547468996,1082414.552410569,1075584.1428778782,1.5880096258862739e+33,1.707207867818155e+33,0.2562517179352972,1.290402404361961,2.58624992459183e-07,8490863.248653412,1.5999645571396616e+33,0.4759481164340979,-5.702820859112287e-07,-3.887527014892324e-12,1.3835865452669316,6.838165331897911e-11,47164455001792.83,452920348201904.0,11263592.144902023,426905079.2504325,43484262815212.27,3079572111403471.0,10351726.286273904,2902685583.378048,0.11046642240780627,5.7653421218226505e+44,1.255514328174961e+29,2.9998536769593496e+22,-3.888681119960269e+17,2.0287579970558816,0.013993386630167345,3.1764480536026135e-06,1.4002449218431692e+36
877754431814674.8,0.10474614103078841,0.03161968007310125,-6.797110989066146e-08,0.9930258041964265,1081213.0711756533,1073672.4795118913,1.611687195109169e+33,1.7359997282265738e+33,0.2589856811542346,1.2934630683546156,2.66972006471883e-07,7928149.323586819,1.624848719927776e+33,0.48088029564560303,1.0660419813543365e-06,-5.741626198283453e-12,1.389510258870087,9.246536195631105e-11,41636237982038.11,270057552056082.66,10660994.881768238,254557929.11633366,39003907623363.3,1831790899411312.2,9945940.672132399,1726659082.8689156,0.11238424414809944,5.900502973959963e+44,6.573558200783396e+28,1.684273701228253e+22,-4.272266902010593e+17,2.0313463420064486,0.015219676767890324,4.434616274369394e-06,1.3874526487108424e+36
892851484283465.4,0.10828967604875564,0.033194614655071425,-7.153494124815145e-08,0.9923164931228681,1080475.8218687228,1072173.9784608197,1.6375605280545698e+33,1.7675242182451758e+33,0.2619588401977681,1.296802562665898,2.7582157512111056e-07,8421894.60555826,1.6520119794677863e+33,0.4902368532870942,-3.954239638528786e-07,-4.32295327612832e-12,1.3960160154332253,7.482766037708907e-11,47722252668368.34,435107085356376.1,11496263.379751632,410299005.69753206,45361467044078.83,2953188660388248.0,10889750.915266791,2784810596.6466274,0.11442271471317995,6.051951046862333e+44,1.2119571971536976e+29,2.9212426868920534e+22,-4.509819400366326e+17,2.029972517514798,0.01456691908485186,3.255238887632571e-06,1.3776373013571367e+36
908208200486197.6,0.11179197289004922,0.034804407544282365,-7.518679697842102e-08,0.9915564214559905,1080230.0594280062,1071109.0520756259,1.6659232339314883e+33,1.8021610003427883e+33,0.2652066791613677,1.3004627321322095,2.852500719248758e-07,9441479.092119588,1.681759320870269e+33,0.5016362475182471,1.4612998956460147e-07,-1.1745242075932094e-12,1.4031162848843213,4.895595294304451e-11,60968944318372.55,1150217839504775.0,13083294.204165997,1086300404.0991342,58770480353642.086,7835548835805962.0,12569508.292644968,7400129101.455851,0.11659890490763015,6.222378400671875e+44,4.101262857351185e+29,8.805711799795632e+22,-6.404584439996744e+17,2.0271547262566045,0.013227815397368026,1.8292345188306137e-06,1.3707952289412262e+36
923829046543314.8,0.1152319904513657,0.03643989843764591,-7.890553318709844e-08,0.9907480021789831,1080507.0093264796,1070510.1608305976,1.6968044244443607e+33,1.8399711189831974e+33,0.2687361817291183,1.3044534304492441,2.952444787959838e-07,9932692.608575877,1.7141175783859772e+33,0.5117623357355662,-1.4637384289452415e-07,-9.179408707729396e-13,1.4107631868556045,4.1415731261198313e-11,68431758388064.85,1845421697133773.5,13953618.08696585,1744890081.070393,66943169470789.234,1.2655974552962692e+16,13611257.489880059,11966525137.49393,0.11890883732790823,6.413035275463776e+44,7.425322153575423e+29,1.5147812553330052e+23,-6.642841104280453e+17,2.026290074325002,0.012815570116624132,1.4155982551256008e-06,1.3670298973515095e+36
939718565390884.8,0.11858488149166108,0.03808850437716678,-8.266223326370059e-08,0.9898962501634965,1081323.1617499217,1070397.7430311835,1.7301370505208234e+33,1.8808993088345018e+33,0.272545345351708,1.3087741964788282,3.0576746775789124e-07,7789923.413165838,1.7490129299223216e+33,0.5137036106452492,-3.0640472388459465e-06,-1.1917698918854964e-11,1.4188138521057085,1.1373447899525479e-10,42304072398491.93,245633348713297.2,11041615.106842484,231848803.14398438,42117724644572.69,1700933510112348.0,10953439.844462797,1605481579.6020741,0.12134228061414722,6.6249698487616184e+44,6.161089661218282e+28,1.6090523032066061e+22,-4.181481273132319e+17,2.03444437575009,0.01667339926399282,4.768614324647045e-06,1.366347466667448e+36
955881378101811.2,0.12188696334667504,0.039767804362905376,-8.649640819647053e-08,0.9889907029615617,1082706.9098885376,1070787.067912005,1.7664688274296367e+33,1.9256489709685187e+33,0.2767035298250851,1.3135057892288315,3.1697794583551376e-07,9337396.645195534,1.7870148616478656e+33,0.5294464008190066,3.016504176470428e-07,-1.373662078714951e-12,1.4278658575706047,5.7419121202260016e-11,61812269615394.98,1064425558685268.4,13424761.798194615,1006018769.2392192,62384209446963.55,7465656409375860.0,13497975.294183485,7056004245.112131,0.12393368545037864,6.860516209891206e+44,3.950658198385193e+29,8.585706906940462e+22,-7.881659137308754e+17,2.0292353031772334,0.014212375536946105,1.930791231625241e-06,1.3688862890980757e+36
972322185229736.2,0.1251340073578805,0.04147740408139021,-9.040773520016293e-08,0.9880295968615833,1084689.090554884,1071704.9248610993,1.8060714969999533e+33,1.9745933431837943e+33,0.28124754693669124,1.3186937952394726,3.289419359191797e-07,9302700.750089929,1.8284017346736204e+33,0.5401676482101694,1.6982454297615136e-06,-2.371241415674297e-13,1.4375979930735554,6.093574444037917e-11,62018007816602.19,1034120384728643.5,13522254.347019449,977677577.2307168,63601838357812.555,7370306283444758.0,13798044.927476358,6968032325.154959,0.12669536178328836,7.124514886633825e+44,3.9131975514539915e+29,8.539431665127069e+22,-1.0782442704286515e+18,2.0300477119281277,0.014595765985366807,1.975309182699324e-06,1.37462220109506e+36
