,ec_st,R_st,M_st,Mb_st,rT_st
37,395311910272008.9,1378667.2791310453,1.5976159252252604e+33,1.6755121884727673e+33,0.0
38,399013930248839.9,1378842.6112122734,1.6219650957782505e+33,1.702465058919597e+33,0.0
39,402750618930439.8,1379030.6375539065,1.646541479138992e+33,1.7297140397082867e+33,0.0
40,406522300982558.1,1379231.9061595248,1.6713627118663305e+33,1.7572853040132784e+33,0.0
41,410329304111374.9,1379446.904713889,1.6964249402073524e+33,1.7851760648491748e+33,0.0
42,414171959091980.56,1379661.7405393198,1.7216711488228445e+33,1.8133082599741447e+33,0.0
43,418050599797105.56,1379887.8058502604,1.7469253819650708e+33,1.8415075310189204e+33,0.0
44,421965563226136.0,1380118.8293246846,1.7723790006752457e+33,1.869979806054155e+33,0.0
45,425917189534390.5,1380353.9301581343,1.7980503290194604e+33,1.8987483296528763e+33,0.0
46,429905822062682.1,1380594.443883197,1.8239222254081616e+33,1.9277913832354414e+33,0.0
47,433931807367139.3,1380833.281306668,1.8499956102109085e+33,1.9571137491928775e+33,0.0
48,437995495249323.7,1381079.229695057,1.876290112421559e+33,1.9867428752859553e+33,0.0
49,442097238786619.5,1381339.7236088107,1.9027786523317457e+33,2.016642376164933e+33,0.0
50,446237394362918.06,1381562.8086178512,1.9294750666093826e+33,2.0468367753040742e+33,0.0
51,450416321699571.9,1381802.192727817,1.9563670968054524e+33,2.077308972530546e+33,0.0
52,454634383886656.5,1382040.643286175,1.983460718885703e+33,2.1080706278611988e+33,0.0
53,458891947414514.4,1382273.7946095243,2.0107439408091244e+33,2.1391064202658456e+33,0.0
54,463189382205604.94,1382502.4433900602,2.0382260192186777e+33,2.1704332987292798e+33,0.0
55,467527061646634.9,1382727.9165582755,2.0659051128986735e+33,2.2020518862774988e+33,0.0
56,471905362621007.25,1382942.6084024932,2.0935478660252422e+33,2.2336857795960736e+33,0.0
57,476324665541563.8,1383145.7385101183,2.1212112522300543e+33,2.265408107225403e+33,0.0
58,480785354383645.2,1383347.9690593255,2.149073985975815e+33,2.2974370459655503e+33,0.0
59,485287816718441.3,1383534.812852053,2.1770477304989972e+33,2.3296416178722572e+33,0.0
60,489832443746673.75,1383706.7744033204,2.205198132831566e+33,2.3621237665251473e+33,0.0
61,494419630332583.56,1383875.4584672456,2.233508930895301e+33,2.3948616558423856e+33,0.0
62,499049775038237.3,1384025.7811768218,2.261965381859501e+33,2.4278364431365697e+33,0.0
63,503723280158164.9,1384166.668225012,2.2905746766750573e+33,2.4610612908162852e+33,0.0
64,508440551754300.75,1384290.8727248888,2.3193155058604667e+33,2.4945061300540276e+33,0.0
65,513201999691273.44,1384402.9633739663,2.3482051735284412e+33,2.5282034364200588e+33,0.0
66,518008037672012.75,1384500.0318803561,2.3772330382099547e+33,2.5621369903232974e+33,0.0
67,522859083273703.06,1384581.1565966462,2.4063893171539085e+33,2.5962968018761116e+33,0.0
68,527755557984052.44,1384640.6793121158,2.4329695846864294e+33,2.6275070497941964e+33,0.0
69,532697887237922.4,1384676.5792093321,2.456064130042448e+33,2.654675681808759e+33,0.0
70,537686500454287.75,1384694.420881691,2.4790747965358722e+33,2.681791931701132e+33,0.0
71,542721831073556.1,1384691.1860307306,2.5020009962019824e+33,2.708855813994342e+33,0.0
72,547804316595214.5,1384669.053490714,2.524847085617153e+33,2.735875102348776e+33,0.0
73,552934398615850.6,1384620.8853897746,2.5475963151881218e+33,2.762825517017083e+33,0.0
74,558112522867516.9,1384552.727109267,2.5702652800544918e+33,2.789731418108687e+33,0.0
75,563339139256467.6,1384455.7073359583,2.592834336909451e+33,2.816562716729422e+33,0.0
76,568614701902235.6,1384335.420223668,2.6153133847731364e+33,2.8433364062329426e+33,0.0
77,573939669177098.4,1384191.2624723269,2.6377037511665623e+33,2.870051045689955e+33,0.0
78,579314503745901.0,1384020.3533149234,2.66000667600673e+33,2.896712873105046e+33,0.0
79,584739672606253.9,1383822.742735949,2.681930441669248e+33,2.922960710557782e+33,0.0
80,590215647129117.2,1383614.6692333452,2.70229420560017e+33,2.947385586913459e+33,0.0
81,595742903099742.5,1383382.2760399333,2.722522632355914e+33,2.97168621973061e+33,0.0
82,601321920759020.6,1383124.878983748,2.742614535849947e+33,2.995860443739313e+33,0.0
83,606953184845204.0,1382840.0164273798,2.762576961338035e+33,3.0199212515625463e+33,0.0
84,612637184636032.6,1382528.8267330646,2.782393104685415e+33,3.0438398587252453e+33,0.0
85,618374413991231.0,1382189.7976228246,2.8020792901901584e+33,3.0676405162543304e+33,0.0
86,624165371395427.4,1381826.5231857067,2.821627727392526e+33,3.091312573166473e+33,0.0
87,630010560001460.1,1381426.3735665423,2.841039061991201e+33,3.114857133400522e+33,0.0
88,635910487674104.9,1381013.045556607,2.8603108313754935e+33,3.138265947950641e+33,0.0
89,641865667034185.4,1380563.4206271411,2.879451783909915e+33,3.1615572226872675e+33,0.0
90,647876615503123.5,1380087.298366082,2.898717698146137e+33,3.1850330737775553e+33,0.0
91,653943855347890.1,1379563.4660892603,2.9179818714069276e+33,3.208545800850429e+33,0.0
92,660067913726394.2,1379019.9052764762,2.9371207300260606e+33,3.2319440556838196e+33,0.0
93,666249322733269.1,1378444.574308822,2.956124258280205e+33,3.2552129970587e+33,0.0
94,672488619446114.2,1377843.372762637,2.975002950446366e+33,3.2783678873918006e+33,0.0
95,678786345972157.9,1377213.237312308,2.9937521332924e+33,3.301400848088669e+33,0.0
96,685143049495355.2,1376551.8701383849,3.012358967902038e+33,3.3242853068424076e+33,0.0
97,691559282323942.2,1375865.2122696466,3.0308456734146054e+33,3.3470679377163765e+33,0.0
98,698035601938407.0,1375149.2602159595,3.0491995117980076e+33,3.369719024221091e+33,0.0
99,704572571039937.9,1374406.6486643816,3.067425476310444e+33,3.392253709126993e+33,0.0
100,711170757599308.5,1373630.1740684053,3.0856862710060275e+33,3.4148588096477075e+33,0.0
101,717830734906238.4,1372816.3251453855,3.103827365547061e+33,3.437352678994335e+33,0.0
102,724553081619186.1,1371981.1611660921,3.1218489844867464e+33,3.459740851073001e+33,0.0
103,731338381815638.8,1371115.4882427012,3.139734516349759e+33,3.481987316281707e+33,0.0
104,738187225042852.9,1370224.331827792,3.1575010707170424e+33,3.504127011502578e+33,0.0
