,ec_st,R_st,M_st,Mb_st,rT_st
123,1077340151709027.4,1164565.862597145,3.0010398480678196e+33,3.347892534585895e+33,0.0
124,1089207259984290.5,1163427.215065761,3.0273137622721065e+33,3.381396042043506e+33,0.0
125,1101205086731884.4,1162257.271988823,3.053409941970532e+33,3.4147743613304145e+33,0.0
126,1113335071840846.9,1161057.1369213718,3.0793181994256065e+33,3.448017585823466e+33,0.0
127,1125598671060851.2,1159843.6524258081,3.1046571371999343e+33,3.480627234273908e+33,0.0
128,1137997356176946.5,1158622.358761967,3.129444814717285e+33,3.512631480581827e+33,0.0
129,1150532615186175.8,1157382.8082766044,3.153964973845705e+33,3.544372469103756e+33,0.0
130,1163205952476141.0,1156083.07669482,3.1782807819053765e+33,3.575949620178082e+33,0.0
131,1176018889005581.0,1154770.1535750492,3.2023745226748695e+33,3.607331223290756e+33,0.0
132,1188972962486867.0,1153427.2726198405,3.2262265576947335e+33,3.638493115664501e+33,0.0
133,1202069727570581.8,1152053.4677632554,3.249841561548771e+33,3.6694346375325256e+33,0.0
134,1215310756032082.0,1150651.3982928032,3.27323151287479e+33,3.7001820052586514e+33,0.0
135,1228697636960116.2,1149218.5011134525,3.296356043428322e+33,3.7306686418419883e+33,0.0
136,1242231976947570.8,1147783.0748064998,3.318804161588169e+33,3.760356007746268e+33,0.0
137,1255915400284239.5,1146328.3939745103,3.340834363025181e+33,3.7895768813418654e+33,0.0
138,1269749549151795.2,1144849.5526785348,3.362600999230246e+33,3.8185379260804066e+33,0.0
139,1283736083820857.5,1143339.202231827,3.384100879997992e+33,3.8472246762522434e+33,0.0
140,1297876682850228.0,1141800.6485427413,3.405319950628733e+33,3.87562035034196e+33,0.0
141,1312173043288377.8,1140233.8768250362,3.4262668935935436e+33,3.903736026579746e+33,0.0
142,1326626880877069.5,1138639.424635436,3.4469411516553844e+33,3.931573264356491e+33,0.0
143,1341239930257307.2,1136480.6461088443,3.467329885911582e+33,3.959105967852493e+33,0.0
144,1356013945177498.2,1135386.3342234758,3.487209692577517e+33,3.986036251982472e+33,0.0
145,1370950698703907.5,1133754.1659023985,3.5064931956558705e+33,4.012234243007096e+33,0.0
146,1386051983433487.5,1132096.5104386623,3.525483863284023e+33,4.0381096732870176e+33,0.0
147,1401319611708967.0,1129945.8936233993,3.5441894531842786e+33,4.063676209059213e+33,0.0
148,1416755415836394.8,1128702.8454063807,3.562591917984315e+33,4.088892781676151e+33,0.0
149,1432361248305021.5,1126967.8693405888,3.5806936411454494e+33,4.1137734642080363e+33,0.0
150,1448138982009604.8,1125207.8275382072,3.5985034153656745e+33,4.138327435330163e+33,0.0
151,1464090510475220.5,1123423.0434003654,3.616017648488128e+33,4.162547130105587e+33,0.0
152,1480217748084462.2,1121637.8890454436,3.6329853590638503e+33,4.1860777669196086e+33,0.0
153,1496522630307233.2,1119851.3245504524,3.6494313982920924e+33,4.208945050161332e+33,0.0
154,1513007113933008.5,1118044.1394131037,3.665590683351694e+33,4.231486224874465e+33,0.0
155,1529673177305655.2,1116212.7386129773,3.681431966333558e+33,4.253642667991303e+33,0.0
156,1546522820560903.5,1114359.5059624864,3.6969742815706315e+33,4.275442344258104e+33,0.0
157,1563558065866335.5,1112482.779279748,3.712210622613226e+33,4.29687414607388e+33,0.0
158,1580780957664117.0,1110585.263621017,3.727145955081961e+33,4.317944751326123e+33,0.0
159,1598193562916335.2,1108664.3151538025,3.7417726767798556e+33,4.338634997321013e+33,0.0
160,1615797971353042.2,1106771.8102354228,3.75572480689312e+33,4.3584254326036293e+33,0.0
161,1633596295723093.0,1104861.9153456918,3.769363307766651e+33,4.377826082270815e+33,0.0
162,1651590672047650.0,1102932.7956248147,3.782704694928729e+33,4.3968571365635216e+33,0.0
163,1669783259876577.8,1100982.9895712617,3.795738438330995e+33,4.415497925038985e+33,0.0
164,1688176242547596.8,1099015.6509909935,3.808474838933351e+33,4.433766575492314e+33,0.0
165,1706771827448290.8,1097027.2258535333,3.820902071044551e+33,4.4516308947398544e+33,0.0
166,1725572246281068.0,1095020.0958802092,3.833038222197017e+33,4.469131492295618e+33,0.0
167,1744579755330939.0,1093031.3335847794,3.8446639656554725e+33,4.485941881823745e+33,0.0
168,1763796635736347.2,1091040.3344572443,3.855894046155433e+33,4.5022152056965767e+33,75543.03999185993
169,1783225193762913.0,1089034.2598684016,3.8668434374854695e+33,4.5181314494962646e+33,125839.18446196214
170,1802867761080193.5,1087010.9543600709,3.877498199917096e+33,4.533656497240845e+33,162256.78405944945
171,1822726695041561.5,1084971.080546592,3.8878608522493113e+33,4.548793818361351e+33,190758.5365716519
172,1842804378967060.2,1082914.9882131324,3.8979284160512746e+33,4.563537472113947e+33,214951.6351728008
173,1863103222429481.8,1080843.3067791867,3.9077096136791177e+33,4.577898596157109e+33,234636.59929195416
174,1883625661543524.8,1078792.2582026839,3.9170429412258877e+33,4.591639004471006e+33,254821.28710890003
175,1904374159258135.2,1076745.081525265,3.9260162419125074e+33,4.604881271837346e+33,271681.8219384911
176,1925351205652144.8,1074684.4962009073,3.9347178625228097e+33,4.617757046192169e+33,286649.9041610607
177,1946559318233049.2,1072607.0610048617,3.9431358924267454e+33,4.6302393214952207e+33,300918.6457315973
178,1968001042239196.0,1070520.685203422,3.951283229203526e+33,4.642351787908353e+33,313460.53150120715
179,1989678950945221.0,1068419.2964973026,3.959151947736537e+33,4.6540769891147744e+33,326860.44886882463
180,2011595645970848.5,1066305.6490433584,3.9667547195725773e+33,4.6654377206116787e+33,338990.9587068904
181,2033753757593176.0,1064227.5324379362,3.9739145090045133e+33,4.676142850323255e+33,350600.2888240584
182,2056155945062274.5,1062140.5908087657,3.980805767734426e+33,4.6864997910178905e+33,360429.275214997
183,2078804896920388.2,1060043.5087916853,3.987429240870845e+33,4.696459185487383e+33,370215.0922666728
184,2101703331324571.0,1057936.656800475,3.993799619314109e+33,4.706065293792397e+33,379544.13878888433
185,2124853996372871.2,1055818.5691085595,3.9999120396030385e+33,4.7153018204088693e+33,388406.4215776511
186,2148259670434198.8,1053690.4531315425,4.005768151110663e+33,4.724172722734749e+33,396930.7312887635
187,2171923162481694.2,1051569.170692847,4.0113246062882937e+33,4.732604821772976e+33,404610.4443772161
188,2195847312429902.8,1049474.1934048182,4.0165522457742686e+33,4.740558905070728e+33,412386.64934277924
