,ec_st,R_st,M_st,Mb_st,rT_st
38,469980974190942.06,1219641.2574092143,7.609793351241635e+32,7.829817691625002e+32,0.0
39,476430200914877.6,1214041.7883449378,7.811842402252579e+32,8.044503315260549e+32,0.0
40,482967925956023.4,1208762.5187913252,8.019438807385004e+32,8.265435851321873e+32,0.0
41,489595363716118.5,1203795.5477535513,8.232294970676928e+32,8.492355094442189e+32,0.0
42,496313745261304.44,1199107.8999204321,8.451396415649146e+32,8.726331601923005e+32,0.0
43,503124318550801.6,1194636.6084382175,8.679614246184078e+32,8.970466283083738e+32,0.0
44,510028348668713.25,1190441.5586420451,8.913623560747584e+32,9.221266106744995e+32,0.0
45,517027118059030.4,1186496.1530090326,9.155174597576323e+32,9.480623122990011e+32,0.0
46,524121926763841.9,1182794.6888254809,9.403700512792767e+32,9.74801558117391e+32,0.0
47,531314092664822.94,1179327.2368757739,9.658724027119002e+32,1.0022945578296822e+33,0.0
48,538604951728035.6,1176081.0466475242,9.921711737683099e+32,1.0307069536970885e+33,0.0
49,545995858252088.3,1173043.6449994522,1.0191154437188246e+33,1.0598776884283153e+33,0.0
50,553488185119703.06,1170244.7650263126,1.0468695718195953e+33,1.0899912665395874e+33,0.0
51,561083324052723.7,1167626.9482649406,1.0753546362061541e+33,1.1209692508642631e+33,0.0
52,568782685870645.5,1165208.601265458,1.1044959741899139e+33,1.1527346576386383e+33,0.0
53,576587700752670.2,1162983.0715999953,1.1342912282679137e+33,1.1852892255734151e+33,0.0
54,584499818503368.6,1160943.9594689426,1.1647935291396298e+33,1.2186987112096873e+33,0.0
55,592520508821985.5,1159019.5935679877,1.1964426966943536e+33,1.2534521443779265e+33,0.0
56,600651261575443.4,1157271.4367861168,1.2288197563414425e+33,1.2890983784606642e+33,0.0
57,608893587075079.8,1155683.8854487792,1.2618221562691124e+33,1.3255297288260907e+33,0.0
58,617249016357206.8,1154244.1836177565,1.2955224304423016e+33,1.3628347209386245e+33,0.0
59,625719101467495.8,1152938.1223887007,1.329978691813074e+33,1.4010825150025546e+33,0.0
60,634305415749277.0,1151764.4754295172,1.3651695444569972e+33,1.4402555426787218e+33,0.0
61,643009554135792.4,1150697.0418039015,1.4012185110326006e+33,1.4805086923258118e+33,0.0
62,651833133446459.6,1149744.9926681444,1.4381301892668408e+33,1.5218351439601137e+33,0.0
63,660777792687203.5,1148896.6866877023,1.475853420097162e+33,1.5642079900564037e+33,0.0
64,669845193354895.5,1148147.7485811133,1.5144337015660487e+33,1.6076813807175368e+33,0.0
