,ec_st,R_st,M_st,Mb_st,rT_st
76,995229106635668.0,1347255.085081519,4.74878137338688e+33,5.618078342369424e+33,0.0
77,1011975451161537.2,1345086.9560763314,4.775225010301159e+33,5.656568374035779e+33,0.0
78,1029003580105797.4,1342840.6790648638,4.8006589339191137e+33,5.693719809773734e+33,0.0
79,1046318234948496.6,1340516.3018195836,4.8250928544101976e+33,5.729538229297228e+33,0.0
80,1063924236952778.2,1338117.3276431018,4.848547437428537e+33,5.764054236526804e+33,0.0
81,1081826488507360.2,1335641.4919735156,4.8710231643359274e+33,5.797252855450328e+33,128185.7934987063
82,1100029974491605.8,1333091.2550945268,4.8925287014651244e+33,5.829136460821039e+33,198125.8198108847
83,1118539763663561.0,1330465.627389653,4.9130855673682015e+33,5.859712529591649e+33,248292.53772526403
84,1137361010071350.8,1327771.516075654,4.932705786846689e+33,5.889004864536363e+33,289870.74867296545
85,1156498954488322.0,1325003.6577676032,4.951406555483847e+33,5.917020355354102e+33,325057.38569577516
86,1175958925872337.0,1322165.357234474,4.969199032347574e+33,5.943783626178668e+33,357401.8441428073
87,1195746342849620.5,1319262.148714556,4.9861023568006497e+33,5.969293989677645e+33,383623.46352746856
88,1215866715223575.2,1316292.6750246154,5.002128266542978e+33,5.99356870670668e+33,406558.4995249225
89,1236325645508986.0,1313262.143276694,5.017305989101397e+33,6.01664254746308e+33,429442.62290540163
90,1257128830492039.8,1310476.107542446,5.0302768764213437e+33,6.036441046223282e+33,446891.7027596851
91,1278282062816594.0,1307808.8647113282,5.04172950789606e+33,6.05397021382993e+33,463329.38837156596
92,1299791232597137.8,1305114.8730688407,5.052467494839873e+33,6.070446016731774e+33,479401.9397780611
93,1321662329058893.5,1302381.8401876246,5.06249513196165e+33,6.085867431721947e+33,492526.6026335707
94,1343901442205510.8,1299610.6811804217,5.071817986766383e+33,6.100235996486615e+33,505257.9378752713
95,1366514764514848.0,1296799.2534816787,5.0804367802033706e+33,6.113541198841447e+33,516220.5547588278
96,1389508592663234.2,1293951.0584523089,5.0883764662711103e+33,6.125812581790341e+33,529440.9840585522
97,1412889329278801.0,1291068.1652816536,5.0956389822921637e+33,6.137062874453387e+33,541849.6802314179
98,1436663484724285.5,1288139.8287668957,5.102245159383332e+33,6.147309837879847e+33,551702.4178076928
99,1460837678909842.0,1285179.5104627397,5.108205751100057e+33,6.156560009879674e+33,561070.700690117
100,1485418643136354.5,1282183.742022192,5.1135317895219207e+33,6.164829892621724e+33,569729.6156422175
101,1510413221969765.8,1279153.770479228,5.118240626603966e+33,6.172143618526238e+33,579280.3457560287
102,1535828375146946.0,1276090.5246592984,5.122343035321497e+33,6.178514715959659e+33,587466.5680388629
103,1561671179513631.5,1272994.3310689135,5.125852607452811e+33,6.183958553637049e+33,594913.9007223899
104,1587948830994969.8,1269867.6277500386,5.12878536176948e+33,6.188501087934563e+33,602444.430042737
105,1614668646599225.2,1266710.2588707032,5.131154474192024e+33,6.192153178222498e+33,609172.8991967423
106,1641838066455198.5,1263524.6592687173,5.132974417164246e+33,6.194942198065976e+33,616485.9925825514
107,1669464655883929.0,1260311.0758435705,5.1342607533179014e+33,6.196886872412271e+33,622542.6952035595
108,1697556107505257.5,1257069.9094420166,5.135014931118994e+33,6.197985990559059e+33,628458.197657857
109,1726120243379836.0,1253805.214423749,5.1352632741264624e+33,6.198287231279371e+33,634823.7300482776
