,ec_st,R_st,M_st,Mb_st,rT_st
48,457109296491878.8,1180379.796055954,6.676323840429566e+32,6.821304878975693e+32,0.0
49,461800798310654.5,1176269.5162330207,6.819750500190998e+32,6.972176076841984e+32,0.0
50,466540450953500.8,1172382.078043601,6.965613109716475e+32,7.12578662899728e+32,0.0
51,471328748612243.7,1168731.4600579077,7.112266095310406e+32,7.28041111677912e+32,0.0
52,476166190550804.0,1165423.4088560261,7.25569174915459e+32,7.431806725254433e+32,0.0
53,481053281157260.7,1162273.1026260864,7.401118014587397e+32,7.585491455181043e+32,0.0
54,485990529996428.4,1159286.5907555933,7.548567253531214e+32,7.741496066442712e+32,0.0
55,490978451863004.2,1156516.911445175,7.698191286666587e+32,7.899985479221964e+32,0.0
56,496017566835230.06,1153805.4134753293,7.849671231112913e+32,8.060635922689814e+32,0.0
57,501108400329126.25,1151288.2607232688,8.003337023394342e+32,8.223802299655643e+32,0.0
58,506251483153280.94,1148864.9062894634,8.159068940855117e+32,8.389364825329489e+32,0.0
59,511447351564184.4,1146592.1222846033,8.316942012523262e+32,8.557413653697793e+32,0.0
60,516696547322149.06,1144423.716195091,8.47691470961953e+32,8.727913939760853e+32,0.0
61,521999617747803.8,1142429.94900428,8.634648616363674e+32,8.896244763740642e+32,0.0
62,527357115779149.44,1140553.9910494764,8.793756954049144e+32,9.066256931703206e+32,0.0
63,532769600029217.94,1138752.6766176666,8.954470020790396e+32,9.238197452504929e+32,0.0
64,538237634844324.5,1137060.8407115901,9.117179272782877e+32,9.412500702878743e+32,0.0
65,543761790362897.6,1135439.816432371,9.281750037019574e+32,9.589028013724948e+32,0.0
66,549342642574932.2,1133905.0011205517,9.448224671328625e+32,9.767833969444847e+32,0.0
67,554980773382053.4,1132441.9213110057,9.616585688155943e+32,9.948908697419027e+32,0.0
68,560676770658174.6,1131063.4160939308,9.78687977896598e+32,1.0132311290176627e+33,0.0
69,566431228310811.5,1129733.7287114742,9.959058448374836e+32,1.0318000530861971e+33,0.0
70,572244746342991.4,1128460.5778123264,1.0136769362921367e+33,1.0509926640061305e+33,0.0
71,578117930915820.8,1127217.328125826,1.0320901723657956e+33,1.0709077917226052e+33,0.0
72,584051394411695.4,1126035.0374218817,1.0507424276078322e+33,1.0911116566887852e+33,0.0
73,590045755498137.9,1124914.148170323,1.0696359202915525e+33,1.1116076259669833e+33,0.0
74,596101639192311.6,1123852.5848427217,1.0887715758098666e+33,1.1323984593932008e+33,0.0
75,602219676926196.8,1122845.0651456583,1.1081461056415623e+33,1.1534812800306468e+33,0.0
76,608400506612414.0,1121890.680095742,1.127764236131829e+33,1.1748633641514558e+33,0.0
77,614644772710745.0,1120982.155841144,1.147621851304828e+33,1.1965413462202014e+33,0.0
78,620953126295336.4,1120129.123221573,1.1677232080878294e+33,1.2185210831131421e+33,0.0
79,627326225122567.9,1119324.0562457188,1.1880673297197984e+33,1.2408034865751306e+33,0.0
80,633764733699655.4,1118515.529583404,1.2096261673512427e+33,1.2644572534599273e+33,0.0
81,640269323353919.5,1117757.59081613,1.2314988306696446e+33,1.2884979561058076e+33,0.0
82,646840672302790.8,1117043.17232289,1.2536711518155724e+33,1.31291228248861e+33,0.0
83,653479465724533.8,1116371.1476739652,1.2761443492116116e+33,1.3377034711289223e+33,0.0
84,660186395829673.1,1115741.637852443,1.29891503963713e+33,1.362869495161867e+33,0.0
85,666962161933176.4,1115148.7619388497,1.321980417652489e+33,1.3884098486130398e+33,0.0
86,673807470527378.0,1114591.301350034,1.345349287764733e+33,1.4143361501502413e+33,0.0
87,680723035355627.4,1114070.8253432326,1.3690076519561665e+33,1.4406357633625796e+33,0.0
88,687709577486717.5,1113582.520275623,1.3929620189286196e+33,1.4673173142952646e+33,0.0
89,694767825390076.4,1113126.6611217565,1.4171544270787227e+33,1.494319374671262e+33,0.0
90,701898515011704.5,1112704.4307439104,1.4415560393163255e+33,1.5216105453786878e+33,0.0
91,709102389850931.8,1112294.0633854961,1.4662394498327824e+33,1.5492741414640694e+33,0.0
92,716380201037920.5,1111937.8862036292,1.4911994265435307e+33,1.5773067103546812e+33,0.0
93,723732707411992.9,1111588.300936892,1.5164325296643728e+33,1.6057062350312956e+33,0.0
94,731160675600761.8,1111258.6659517956,1.541929913993604e+33,1.6344620838818001e+33,0.0
95,738664880100047.2,1110954.513804629,1.5677012371671464e+33,1.663593087555638e+33,0.0
96,746246103354640.8,1110662.4292653962,1.593732571254439e+33,1.693082445953501e+33,0.0
97,753905135839897.1,1110390.2916366844,1.6200272958051132e+33,1.722938930130731e+33,0.0
98,761642776144137.6,1110121.9772027668,1.6465705176076405e+33,1.753144906441018e+33,0.0
99,769459831051926.1,1109887.2586746775,1.6726984014150842e+33,1.7829465027950658e+33,0.0
100,777357115628199.4,1109669.8374185406,1.6987647708044728e+33,1.81274810197073e+33,0.0
101,785335453303230.0,1109450.1973518215,1.725019119140898e+33,1.8428299875123112e+33,0.0
102,793395675958509.2,1109238.976058209,1.75146509103864e+33,1.873203408200936e+33,0.0
103,801538624013462.5,1109034.3704635412,1.7780958446706925e+33,1.9038580129316414e+33,0.0
104,809765146513087.4,1108825.2271715803,1.8049081049125112e+33,1.934795802363017e+33,0.0
105,818076101216491.2,1108621.4952897013,1.8318923882794352e+33,1.966005471988072e+33,0.0
106,826472354686308.4,1108421.9386554381,1.8590513017755083e+33,1.997493903724739e+33,0.0
107,834954782379063.8,1108212.3474212813,1.886377405806098e+33,2.0292569503595404e+33,0.0
108,843524268736465.0,1108003.9085180368,1.9138561452655956e+33,2.0612704040880463e+33,0.0
109,852181707277600.5,1107798.425178238,1.940288960286101e+33,2.0921443756423378e+33,0.0
110,860928000692114.9,1107590.4341958417,1.9666399612804093e+33,2.122995977853602e+33,0.0
111,869764060934340.5,1107372.5582374667,1.9930582788261582e+33,2.1540023352345545e+33,0.0
112,878690809318363.6,1107145.6253296097,2.0195628426113134e+33,2.1851864686716264e+33,0.0
113,887709176614098.1,1106917.9502064667,2.046143905500774e+33,2.2165383705275134e+33,0.0
114,896820103144345.5,1106659.7038050175,2.0727833797591855e+33,2.248034635795647e+33,0.0
115,906024538882814.5,1106395.1758366867,2.0994903793231197e+33,2.2796878615856595e+33,0.0
116,915323443553202.0,1106120.547087839,2.1262560021180866e+33,2.3114939400814377e+33,0.0
117,924717786729234.6,1105828.6821552825,2.1530723657401236e+33,2.343442089624115e+33,0.0
118,934208547935775.8,1105520.9250202747,2.179937490092266e+33,2.3755319744304884e+33,0.0
119,943796716750968.8,1105210.9682105822,2.2057044367479014e+33,2.4063909933980908e+33,0.0
120,953483292909395.6,1104884.9226291005,2.2312970723430126e+33,2.4371125568165835e+33,0.0
121,963269286406327.5,1104545.8665844481,2.2568799381914666e+33,2.467903331752779e+33,0.0
122,973155717603047.1,1104180.2792804805,2.2824303717452174e+33,2.4987315096731396e+33,0.0
123,983143617333215.0,1103794.831775842,2.3079748843847316e+33,2.5296325798883963e+33,0.0
124,993234027010364.1,1103390.8352385552,2.3334632792314715e+33,2.5605447028965782e+33,0.0
125,1003427998736497.4,1102963.8380755917,2.358929143065559e+33,2.5915086878067162e+33,0.0
126,1013726595411759.6,1102515.4425969354,2.3843526920631367e+33,2.6224947790505253e+33,0.0
127,1024130890845296.0,1102046.119134076,2.4097398483903182e+33,2.653524649502731e+33,0.0
128,1034641969867186.6,1101546.7558415066,2.435064867462232e+33,2.684558494032352e+33,0.0
129,1045260928441571.8,1101046.5477769102,2.4596249471524442e+33,2.7147337029386415e+33,0.0
130,1055988873780937.4,1100524.1735855404,2.483805245043067e+33,2.744521666816101e+33,0.0
131,1066826924461536.9,1099980.7152840437,2.507896043415167e+33,2.774273712592061e+33,0.0
132,1077776210540034.0,1099411.4306477222,2.531890201358201e+33,2.803982351816284e+33,0.0
133,1088837873671345.1,1098818.34873895,2.5557806826143408e+33,2.8336385223833976e+33,0.0
134,1100013067227649.8,1098197.8158112234,2.5795706271084448e+33,2.8632476385499997e+33,0.0
135,1111302956418663.5,1097555.6101939694,2.6032535306169633e+33,2.8927990993316893e+33,0.0
136,1122708718413144.5,1096885.2201160628,2.626818792893256e+33,2.9222807485939184e+33,0.0
137,1134231542461607.8,1096189.472070601,2.650283399235894e+33,2.951715396786834e+33,0.0
138,1145872630020337.5,1095463.9362724377,2.673601563167005e+33,2.9810406972719593e+33,0.0
139,1157633194876675.8,1094730.8903132086,2.696417927241259e+33,3.009817143911056e+33,0.0
